Nv,theta_center_deg,delta_theta_deg,epsilon_grid,epsilon_corrected
16,20,0.1,0.000281865646488799,2.81727442275059e-06
16,20,0.1125,0.000356699809400673,3.56507128462802e-06
16,20,0.125,0.000440324030871353,4.40065341900109e-06
16,20,0.1375,0.000532734880452246,5.32398042440985e-06
16,20,0.15,0.000633928788302485,6.33501184676977e-06
16,20,0.1625,0.000743902045327927,7.43370717837255e-06
16,20,0.175,0.000862650803322151,8.62002585966248e-06
16,20,0.1875,0.000990171075111124,9.89392727734906e-06
16,20,0.2,0.0011264587347003,1.12553707662943e-05
16,20,0.2125,0.0012715095174235,1.27043156076256e-05
16,20,0.225,0.00142531902009546,1.42407210308448e-05
16,20,0.2375,0.0015878827011675,1.58645462120521e-05
16,20,0.25,0.00175919588088302,1.75757502750562e-05
16,45,-0.25,0.00100229057626489,1.00650904925059e-05
16,45,-0.2375,0.000904397334626883,9.08001257926561e-06
16,45,-0.225,0.000811549135000478,8.14602490506466e-06
16,45,-0.2125,0.000723743556633294,7.26306549436728e-06
16,45,-0.2,0.000640978132232073,6.43107236630858e-06
16,45,-0.1875,0.000563250348053934,5.64998353458357e-06
16,45,-0.175,0.000490557643997303,4.91973700744719e-06
16,45,-0.1625,0.000422897413693502,4.24027078793632e-06
16,45,-0.15,0.000360267004597348,3.61152287375877e-06
16,45,-0.1375,0.000302663718080964,3.03343125773736e-06
16,45,-0.125,0.000250084809525264,2.50593392736587e-06
16,45,-0.1125,0.00020252748841354,2.02896886469794e-06
16,45,-0.1,0.000159988918425391,1.60247404690228e-06
16,45,-0.0875,0.000122466217529871,1.22638744715076e-06
16,45,-0.075,8.99564580806311e-05,9.00647032175961e-07
16,45,-0.0625,6.24566669108484e-05,6.25190764824701e-07
16,45,-0.05,3.99638254275914e-05,3.99956602947782e-07
16,45,-0.0375,2.24748697092991e-05,2.24882499511025e-07
16,45,-0.025,9.98669060003898e-06,9.99064029283403e-08
16,45,-0.0125,2.49613380787217e-06,2.49662567286535e-08
16,45,0,0,0
16,45,0.0125,2.49504490235086e-06,2.4945567500545e-08
16,45,0.025,9.97797939572553e-06,9.97408888814277e-08
16,45,0.0375,2.24454696151621e-05,2.24323890463118e-07
16,45,0.05,3.98941370480799e-05,3.9863249290395e-07
16,45,0.0625,6.23205586335329e-05,6.22604613309541e-07
16,45,0.075,8.97212668619085e-05,8.96178164455641e-07
16,45,0.0875,0.000122092749874847,1.21929105467711e-06
16,45,0.1,0.000159431451565717,1.59188118842302e-06
16,45,0.1125,0.000201733771680201,2.01388646570155e-06
16,45,0.125,0.000248996065916662,2.48524478274614e-06
16,45,0.1375,0.000301214646029946,3.00589403179341e-06
16,45,0.15,0.000358385779931081,3.57577210052806e-06
16,45,0.1625,0.00042050569179064,4.1948168740813e-06
16,45,0.175,0.00048757056214177,4.86296623225524e-06
16,45,0.1875,0.000559576527982331,5.58015805196543e-06
16,45,0.2,0.000636519682879921,6.34633020624165e-06
16,45,0.2125,0.000718396077074246,7.16142056400582e-06
16,45,0.225,0.000805201717582471,8.02536699162637e-06
16,45,0.2375,0.000896932568303921,8.93810735047573e-06
16,45,0.25,0.000993584550124327,9.89957949926179e-06
32,-45,-0.25,0.00398244945827597,3.97144284078887e-05
32,-45,-0.2375,0.00359536666089511,3.58572940258872e-05
